1,"['kirkpatrick', 'wear', 'baseball', 'cap', 'embroider', 'barack', 'obama', 'signature', 'hangdog', 'look', 'jason', 'segel', 'courier', 'journal']"
2,"['question', 'romney', 'obama', 'child', 'punch', 'contest', 'punch', 'five', 'obama', 'punch', 'none']"
9999999,"['obama', 'debate', 'cracker', 'ass', 'cracker', 'tonight', 'tune']"
4,"['slate', 'blame', 'obama', 'four', 'deaths', 'libya', 'not', 'blame', 'bush', 'nearly', 'deaths', 'new', 'york']"
5,"['miss', 'point', 'afraid', 'not', 'understand', 'bigger', 'picture', 'not', 'obama', 'elect']"
6,"['romney', 'make', 'money', 'barack', 'obama', 'make', 'money', 'live', 'tax', 'payers', 'entire']"
7,"['raise', 'democrat', 'leave', 'party', 'years', 'ago', 'lifetime', 'never', 'see', 'president', 'divide', 'country', 'like', 'obama']"
8,"['obama', 'camp', 'not', 'afford', 'lower', 'expectations', 'tonight', 'debate', 'president', 'must', 'give', 'strong', 'performance']"
9,"['tonight', 'debate', 'game', 'feel', 'pres', 'obama', 'call', 'romney', 'lie', 'tell', 'us', 'plan', 'years']"
10,"['obama', 'policy', 'disappoint', 'say', 'least', 'via']"
11,"['not', 'hollywood', 'back', 'gene', 'simmons', 'yank', 'obama', 'support', 'call', 'piss', 'poor', 'president']"
12,"['grateful', 'scoop', 'guy', 'rather', 'bloviate', 'brilliance', 'obama', 'critique', 'romney', 'tax', 'plan']"
13,"['obama', 'must', 'degree', 'hit', 'mr', 'hard', 'tonight', 'town', 'hall', 'not', 'hospitable', 'media', 'die', 'report', 'obama', 'come', 'back']"
14,"['obama', 'expedient', 'speak', 'fair', 'order', 'slenderize', 'biscuit', 'taiwan', 'tensions']"
15,"['dream', 'smoke', 'obama']"
16,"['washington', 'time', 'president', 'popularity', 'bubble', 'burst', 'barack', 'obama', 'fox', 'nation']"
17,"['obama', 'priorities', 'gaydar', 'research', 'not', 'security', 'embassy', 'libya']"
18,"['unite', 'state', 'islam', 'obama', 'really', 'think', 'weirdo']"
19,"['create', 'debt', 'plame', 'obama', 'hand', 'money', 'billionaires', 'two', 'war', 'brake', 'own']"
20,"['obama', 'not', 'keep', 'one', 'promise', 'town', 'hall', 'debate', 'believe', 'tonight']"
21,"['obama', 'vs', 'romney', 'tonight', 'obama', 'may', 'bring', 'bus', 'driver', 'case', 'get', 'personal', 'lmao']"
22,"['talk', 'shit', 'obama']"
23,['obama']
24,"['go', 'ideas', 'hurt', 'obama', 'america', 'elect', 'blk', 'pres', 'youhave', 'show', 'whole', 'hand', 'dumbass']"
25,"['not', 'see', 'obama', 'recover', 'lindsey', 'lohan', 'endorsement', 'romney', 'guy', 'thats', 'runaway', 'train', 'win', 'vodka', 'cocaine']"
26,"['still', 'idol', 'mr', 'president', 'obama']"
27,"['pretty', 'creepy', 'wonder', 'obama', 'always', 'starbursts', 'pocket', 'equally', 'realistic', 'theories']"
28,"['saw', 'truck', 'nasa', 'sticker', 'obama', 'sticker', 'new', 'bff']"
29,"['debate', 'tonight', 'hope', 'obama', 'bring', 'lot', 'energy', 'tonight', 'debate', 'crucial']"
30,"['say', 'much', 'good', 'things', 'obama', 'small', 'business', 'owner', 'pick']"
31,"['either', 'years', 'increase', 'debt', 'hand', 'out', 'obama', 'years', 'growth', 'help', 'hand', 'romney']"
32,"['hillary', 'take', 'spaken', 'obama', 'ignorance', 'attaboy', 'obama', 'blind', 'people', 'back', 'better', 'spineless']"
33,"['south', 'african', 'say', 'obama', 'best', 'thing', 'happen', 'america']"
34,"['smart', 'women', 'know', 'obama', 'say', 'policies', 'would', 'cause', 'energy', 'price', 'skyrocket', 'mean']"
35,"['tonight', 'obama', 'focus', 'forceful', 'leave', 'voters', 'wonder', 'not', 'know', 'first', 'debate']"
36,"['obama', 'may', 'need', 'grind', 'game', 'backers', 'follow', 'elex', 'closely', 'compare']"
37,"['remember', 'obama', 'first', 'get', 'elect', 'niggas', 'act', 'like', 'second', 'come', 'jesus']"
38,"['obama', 'work', 'next']"
39,"['pretty', 'much', 'obama', 'lose', 'tonight', 'expect', 'madness', 'meltdown', 'breach', 'containment']"
40,"['obama', 'win', 'wanna', 'move', 'new', 'york']"
41,"['hear', 'obama', 'say', 'nigga', 'please']"
42,"['barack', 'obama', 'quietly', 'give', 'control', 'communication', 'systems', 'america']"
43,"['last', 'kid', 'vote', 'johnson', 'would', 'bk', 'obama', 'make', 'sense', 'oh', 'god', 'could', 'scream']"
44,"['thanksgiving', 'obama', 'turkey', 'google', 'omg', 'thats', 'wrong']"
45,"['okay', 'obama', 'time', 'put', 'game', 'get', 'shit', 'do']"
46,"['actually', 'begin', 'feel', 'sorry', 'obama', 'never', 'mind', 'pass', 'like', 'smelly', 'gas']"
47,"['agree', 'not', 'afford', 'years', 'obama']"
48,"['feel', 'thee', 'next', 'indie', 'pres', 'use', 'time', 'next', 'term', 'obm', 'fuck', 'obama', 'world', 'step']"
49,"['obama', 'blame', 'benghazi', 'bush', 'not', 'blame', 'sers', 'question', 'not', 'understand', 'parse']"
50,"['colorado', 'model', 'obama', 'romney', 'state', 'remain', 'toss']"
51,"['romney', 'vs', 'obama', 'round', 'obama', 'win', 'debate', 'predictions']"
52,"['anyone', 'see', 'obama', 'oh', 'hide', 'behind', 'hillary', 'hillary', 'never', 'see', 'fantasy']"
53,"['cdn', 'muppets', 'denounce', 'democrats', 'call', 'obama', 'puppet', 'ahead', 'democrat', 'organize']"
54,"['new', 'intelligence', 'syrian', 'rebel', 'number', 'win', 'obama', 'not', 'either']"
55,"['gov', 'gary', 'johnson', 'pull', 'vote', 'waste', 'vote', 'obama', 'must', 'go']"
56,"['romney', 'obama', 'will', 'donate', 'presidential', 'salary', 'national', 'debt', 'balance']"
57,"['truther', 'news', 'leak', 'debate', 'agreement', 'show', 'obama', 'romney', 'snivel', 'cowards', 'gawker']"
58,"['bob', 'beckel', 'obama', 'create', 'mil', 'job', 'mil', 'people', 'without', 'job', 'january', 'kid', 'bob']"
59,"['obama', 'sustain', 'efforts', 'claim', 'not', 'responsible', 'anything', 'belong', 'letter', 'resignation', 'not', 'election', 'campaign']"
60,"['reporter', 'aware', 'michelle', 'vote', 'yesterday', 'obama', 'thank', 'goodness']"
61,"['obama', 'debate', 'around', 'corner', 'gaf', 'security', 'crazy']"
62,"['look', 'forward', 'watch', 'president', 'clean', 'slate', 'romney', 'presidential', 'debate', 'tonight', 'back']"
63,"['obama', 'remind', 'kid', 'one', 'ego']"
64,"['obama', 'walk', 'short', 'debate', 'prep', 'session', 'morning', 'advisers', 'anita', 'dunn', 'david', 'plouffe', 'tell', 'reporters', 'feel', 'fabulous']"
65,"['look', 'like', 'obama', 'may', 'need', 'two', 'good', 'debate', 'assure', 'victory']"
66,"['go', 'romney', 'lovers', 'whats', 'crazy', 'idea', 'evil', 'towards', 'women', 'fuck', 'stand', 'right']"
67,"['liberals', 'depress', 'obama', 'debate', 'tough', 'bcuz', 'lock', 'urself', 'garage', 'run', 'prius', 'nothing', 'happen', 'maher']"
68,"['vote', 'obama']"
