1,"['insidious', 'romney', 'bain', 'help', 'philip', 'morris', 'get', 'high', 'schoolers', 'hook', 'cigarettes', 'via']"
2,"['senior', 'romney', 'advisor', 'claim', 'obama', 'administration', 'deliberately', 'mislead', 'public', 'libya', 'tp']"
3,"['mean', 'like', 'romney', 'cheat', 'primary']"
4,"['romney', 'still', 'not', 'believe', 'black', 'president']"
5,"['romney', 'tax', 'plan', 'deserve', 'look', 'secret', 'one', 'different', 'one', 'lie']"
6,"['hope', 'romney', 'debate', 'prepped', 'people', 'last', 'time']"
7,"['know', 'romney', 'go', 'able', 'cut', 'trillon', 'dollars', 'go', 'explain', 'everything']"
8,"['romney', 'win', 'presidential', 'election', 'worlds', 'really', 'end', 'year']"
9,"['presidential', 'debate', 'round', 'romney', 'want', 'repeat', 'obama', 'reversal']"
10,"['someone', 'romney', 'facebook', 'page', 'say', 'president', 'bush', 'keep', 'us', 'safe', 'uhh', 'since']"
11,"['romney', 'million', 'job', 'scam', 'remind', 'rip', 'tear', 'sell', 'pennies', 'movies', 'sick', 'puppy']"
12,"['girl', 'look', 'body', 'thank', 'sexy', 'know', 'republican', 'version']"
13,"['say', 'catch', 'osama', 'lade', 'would', 'insignifican', 'not', 'not', 'worth', 'move', 'heaven', 'earth']"
14,"['please', 'romney', 'honey', 'boo', 'boo', 'endorse', 'president', 'video']"
15,"['romney', 'lead', 'obama', 'economy', 'job', 'deficit', 'poll', 'find', 'new', 'poll', 'show', 'economy', 'budget']"
16,"['romney', 'disappoint', 'state', 'allow', 'sex', 'marriage']"
17,"['women', 'poll', 'show', 'truly', 'vote', 'romney', 'not', 'know', 'truly', 'take', 'household']"
18,"['come', 'trillion', 'tax', 'plan', 'not', 'let', 'romney', 'give', 'runaround', 'detail', 'matter']"
19,"['romney', 'go', 'eff', 'obama']"
20,"['tony', 'corleone', 'tony', 'soprano', 'amp', 'tony', 'romney', 'tomato', 'tomato', 'tooommmaaatto', 'watch', 'via']"
21,"['reminder', 'romney', 'not', 'change', 'position', 'refuse', 'admit', 'position']"
